index,accel_value,,,,,,,,,,,,
1,0.2,,,,,,,,,,,,
2,0.4,,,,,,,,,,,,
3,0.7,,,,,,,,,,,,
4,1,,,,,,,,,,,,
5,1.5,,,,,,,,,,,,
6,2,,,,,,,,,,,,
7,3,,,,,,,,,,,,
